video_id,transcript,label,emotion,path
1_eps6,wah.,positive,joy,eps6/1.mp4
2_eps6,Aku masak semua ini sendiri loh.,positive,joy,eps6/2.mp4
3_eps6,"Ya elah, Bi.",negative,joy,eps6/3.mp4
4_eps6,"Apapun masakannya, kalau kamu yang masak, aku pasti suka.",positive,joy,eps6/4.mp4
5_eps6,"Kan kamu tau aku, aku tuh pemakan segala.",positive,joy,eps6/5.mp4
6_eps6,inikan pedes semua.,negative,sadness,eps6/6.mp4
7_eps6,Enggak loh.,positive,joy,eps6/7.mp4
8_eps6,Aku kan udah kenal kamu dari lama.,positive,joy,eps6/8.mp4
9_eps6,Aku tahu lah kamu paling gak suka sama pedes.,positive,joy,eps6/9.mp4
10_eps6,Emang sih bahan dasarnya dari cabe.,positive,joy,eps6/10.mp4
11_eps6,Tapi aku udah pilihin kok cabai yang gak pedas buat kamu.,positive,joy,eps6/11.mp4
12_eps6,Emang ada ya cabe yang ga pedes?,negative,sadness,eps6/12.mp4
13_eps6,"Ada ini, ini cabe ga pedes?",positive,joy,eps6/13.mp4
14_eps6,Nih satu lagi.,positive,joy,eps6/14.mp4
15_eps6,Adi bangun!,negative,anger,eps6/15.mp4
16_eps6,Hmmm.,negative,anger,eps6/16.mp4
17_eps6,Aduh kamu romantis banget sih bangunin aku.,positive,joy,eps6/17.mp4
18_eps6,Pasti kamu siapin sarapan ya buat aku ya?,positive,joy,eps6/18.mp4
19_eps6,Sarapan,negative,anger,eps6/19.mp4
20_eps6,"Tuh, lihat kaca aku pecah.",negative,anger,eps6/20.mp4
21_eps6,"Aduh, kamu ngerusak suasana banget sih.",negative,anger,eps6/21.mp4
22_eps6,Pagi-pagi udah ribut aja.,negative,anger,eps6/22.mp4
23_eps6,"Kok, aku sih?",negative,anger,eps6/23.mp4
24_eps6,Udah dua hari yang lalu aku bilang kacanya pecah.,negative,anger,eps6/24.mp4
25_eps6,"Aku bilang, Adi, kaca aku pecah.",positive,anger,eps6/25.mp4
26_eps6,"Kalo gak bisa makeup, gak bisa ngantor.",negative,anger,eps6/26.mp4
27_eps6,Kau gak bisa ngantor siapa yang bayar tagihan?,negative,anger,eps6/27.mp4
28_eps6,Bisa dipake kok.,positive,anger,eps6/28.mp4
29_eps6,Tosnya cuma pakai orange juice nih?,positive,positive,eps6/29.mp4
30_eps6,Nggak ada wine ni?,positive,joy,eps6/30.mp4
31_eps6,Iyalah rame,positive,joy,eps6/31.mp4
32_eps6,Sebelum mereka disini kan di rumah kosong,positive,joy,eps6/32.mp4
33_eps6,"Tapi beneran loh Mas Adi, Mba Angel, kami tuh seneng banget.",positive,joy,eps6/33.mp4
34_eps6,"Thanks ya, guys. Tos untuk kita semua.",positive,joy,eps6/34.mp4
35_eps6,"Oh iya, Bastian Bintang.",positive,joy,eps6/35.mp4
36_eps6,Terima kasih kalian udah say thank you ke kami yang kami juga nggak tahu untuk apa,positive,joy,eps6/36.mp4
37_eps6,dan Angel juga tadi udah tos juga,positive,joy,eps6/37.mp4
38_eps6,Lunas ya,positive,joy,eps6/38.mp4
39_eps6,Bahwa gak ada hutang diantara kita.,positive,joy,eps6/39.mp4
40_eps6,hehe.,positive,joy,eps6/40.mp4
41_eps6,Berarti boleh makan dong sekarang,positive,joy,eps6/41.mp4
42_eps6,"Oh, Mas Adi lapar ya?",positive,joy,eps6/42.mp4
43_eps6,"Maaf, maaf, maaf.",positive,joy,eps6/43.mp4
44_eps6,Bon appetit.,positive,joy,eps6/44.mp4
45_eps6,Katanya kalian baru pulang liburan ya.,positive,joy,eps6/45.mp4
46_eps6,"Iya, kita kemarin dari Gunung Salak, Mbak Angel.",positive,joy,eps6/46.mp4
47_eps6,"ohh, gunung salak.",positive,joy,eps6/47.mp4
48_eps6,"Uhh, ngapain?",positive,joy,eps6/48.mp4
49_eps6,Kita berdua suka banget naik gunung makanya ya.,positive,joy,eps6/49.mp4
50_eps6,Kalau kalian suka naik gunung enggak?,positive,joy,eps6/50.mp4
51_eps6,Wah kalau saya naik gunung sama dia sih bisa mati kelaparan saya,negative,joy,eps6/51.mp4
52_eps6,Gara-gara terlalu hemat,negative,joy,eps6/52.mp4
53_eps6,Malah Bastian waktu itu ngelamar saya pas lagi naik gunung loh.,positive,joy,eps6/53.mp4
54_eps6,Ya namanya juga pecinta alam mbak,positive,joy,eps6/54.mp4
55_eps6,"Pas kita lagi di ketinggian untuk melihat matahari terbit, tiba-tiba Bastian berlutut dan mengeluarkan sebuah cincin.",positive,joy,eps6/55.mp4
56_eps6,Dan cincin itu menjadi cincin kawin saya.,positive,joy,eps6/56.mp4
57_eps6,Itu berlian lho mbak.,positive,joy,eps6/57.mp4
58_eps6,Saya setahun nabung buat beli itu,positive,joy,eps6/58.mp4
59_eps6,Oh.,positive,joy,eps6/59.mp4
60_eps6,"Aduh, pusing.",negative,anger,eps6/60.mp4
61_eps6,Toiletnya sebelah situ kan?,positive,anger,eps6/61.mp4
62_eps6,"Perut saya mules, pasti gara-gara tos pakai orange juice.",negative,anger,eps6/62.mp4
63_eps6,"Terus si Bastian gak punya duit, gak punya modal.",negative,anger,eps6/63.mp4
64_eps6,Oh yeah?,negative,anger,eps6/64.mp4
65_eps6,Terus kamu pikir kamu ngelamarnya pake modal?,negative,anger,eps6/65.mp4
66_eps6,Ya iya dong.,positive,anger,eps6/66.mp4
67_eps6,"Eh, waktu itu aku ngelamar kamu... Di mana ya?",positive,neutral,eps6/67.mp4
68_eps6,Di warteg,negative,anger,eps6/68.mp4
69_eps6,Panas sekali.,negative,anger,eps6/69.mp4
70_eps6,"Karena aku belum pernah makan di Warteg. Kamu bilang Angel, kamu mau gak aku traktir ke Warteg?",positive,anger,eps6/70.mp4
71_eps6,Terus aku pikir ya boleh lah berhubung kamu ganteng.,positive,anger,eps6/71.mp4
72_eps6,"Terus aku makan terlalu dadar, tiba-tiba ada cincinnya di dalam.",positive,anger,eps6/72.mp4
73_eps6,Romantis kan?,positive,joy,eps6/73.mp4
74_eps6,"Ya, romantis.",positive,anger,eps6/74.mp4
75_eps6,Kalau aja di cincin itu gak ada tulisan Eko dan Mimi.,negative,anger,eps6/75.mp4
76_eps6,"Tuh kan, diungkit-ungkit lagi deh.",negative,sadness,eps6/76.mp4
77_eps6,Males deh aku,negative,sadness,eps6/77.mp4
78_eps6,Ya kamu tahu kan cincin itu dari pakde Eko.,positive,sadness,eps6/78.mp4
79_eps6,"Ya waktu itu kan aku gak punya uang Angel, aku lagi kere, kamu kan tau itu.",negative,sadness,eps6/79.mp4
80_eps6,Ya aku tahu kamu kere. Sampai sekarang juga kere.,negative,anger,eps6/80.mp4
81_eps6,"Hehe, ya juga ya.",positive,joy,eps6/81.mp4
82_eps6,Semua orang ketawain kita.,negative,neutral,eps6/82.mp4
83_eps6,Tapi kamu inget kan kamu bilang apa?,positive,neutral,eps6/83.mp4
84_eps6,Ingat-ingat aku ingat aku bilang...,positive,joy,eps6/84.mp4
85_eps6,Angel nanti kalau suatu saat aku punya uang aku akan beliin kamu cincin berlian yang bagus buat gantiin cincinnya Pakde Eko ya kan?,positive,joy,eps6/85.mp4
86_eps6,Siap-siap!,positive,joy,eps6/86.mp4
87_eps6,"Satu, dua...",positive,joy,eps6/87.mp4
88_eps6,"Hi, Mas Adi.",positive,joy,eps6/88.mp4
89_eps6,ke kantor,positive,anger,eps6/89.mp4
90_eps6,"Loh? Kan ini hari Minggu, Mas.",positive,anger,eps6/90.mp4
91_eps6,"Nah itu dia si Angel, hari Minggu bukan yang ngurus suami malah ke kantor.",negative,anger,eps6/91.mp4
92_eps6,Boleh?,positive,joy,eps6/92.mp4
93_eps6,Boleh boleh mas.,positive,joy,eps6/93.mp4
94_eps6,Ada apa mas?,positive,joy,eps6/94.mp4
95_eps6,Mas Adi mau saya jadi wasitnya,positive,joy,eps6/95.mp4
96_eps6,Kosong kosong.,positive,joy,eps6/96.mp4
97_eps6,"Boleh gak kamu ngambilin saya minum? Tapi ngambilinnya jauh, di Merauke sana.",positive,joy,eps6/97.mp4
98_eps6,Mau ngobrol berdua?,positive,neutral,eps6/98.mp4
99_eps6,"Sorry, Bas, terpaksa. Pengen ngobrol berdua sama kamu soalnya.",positive,neutral,eps6/99.mp4
100_eps6,"Gak apa-apa mas, saya yang makasih.",positive,neutral,eps6/100.mp4
101_eps6,"Eh, Mas Adi kenapa lagi nih?",positive,neutral,eps6/101.mp4
102_eps6,Berantem lagi ya? Sama Angel ya?,positive,neutral,eps6/102.mp4
103_eps6,Iya berantem gara-gara kamu.,negative,anger,eps6/103.mp4
104_eps6,"Hah? Kok gara-gara saya, Mas?",negative,neutral,eps6/104.mp4
105_eps6,"Ya Gara-gara kamu, gara-gara kamu itu cerita soal kamu beliin cincin buat istri kamu.",negative,anger,eps6/105.mp4
