video_id,transcript,label,emotion,path
1_eps2,"Terus, hasil jualan kamu beli ini semua?",positive, neutral,Eps2/1.mp4
2_eps2,Enggak lah. Enggak semuanya,positive,neutral,Eps2/2.mp4
3_eps2,Kan sisanya ditabung,positive,neutral,Eps2/3.mp4
4_eps2,Oh pinter,positive,joy,Eps2/4.mp4
5_eps2,Pinternya ditabung,positive,joy,Eps2/5.mp4
6_eps2,Ya kan kamu yang ngajarin,positive,joy,Eps2/6.mp4
7_eps2, yang beli lukisan aku itu ngelotri kantoran di dekat sekola aku.,positive,joy,Eps2/7.mp4
8_eps2,Ohhh.,positive,joy,Eps2/8.mp4
9_eps2,Yaudah sekalian ntar dari sana aku antarin ke sekolah,positive,joy,Eps2/9.mp4
10_eps2," tapi jangan lupa ya, traktir Bintang sama Bastian ya.",positive,neutral,Eps2/10.mp4
11_eps2,Traktir,positive,neutral,Eps2/11.mp4
12_eps2,Iya sih.,positive,neutral,Eps2/12.mp4
13_eps2, Cuman sejak kapan yang kamu bisa kayak gitu nyuruh  Aku untuk traktir orang lain,positive,neutral,Eps2/13.mp4
14_eps2,Apa,positive,anger,Eps2/14.mp4
15_eps2,HMm.,positive,anger,Eps2/15.mp4
16_eps2,Aku tu bukan pelit Adi.,negative,anger,Eps2/16.mp4
17_eps2,Realistis,positive,anger,Eps2/17.mp4
18_eps2,Yang nggak lupain,negative,anger,Eps2/18.mp4
19_eps2,Gitu Di,positive,anger,Eps2/19.mp4
20_eps2,Ya ya ya.,negative,anger,Eps2/20.mp4
21_eps2, Yang paling pas yang ini,positive,neutral,Eps2/21.mp4
22_eps2,Keren kali.,positive,joy,Eps2/22.mp4
23_eps2, I don't think so.,positive,anger,Eps2/23.mp4
24_eps2,Hei mumpung nih. Mumpung ada mas adi nih,positive,neutral,Eps2/24.mp4
25_eps2," Tunggu, sebelum mulai ngomong apa-apa.",positive,neutral,Eps2/25.mp4
26_eps2,,positive,neutral,Eps2/26.mp4
27_eps2,Kamu kok pake celana kayak saya.,positive,anger,Eps2/27.mp4
28_eps2,Come on mas Adi,positive,neutral,Eps2/28.mp4
